mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,time_since_treatment,bridge_year
-0.034,0.123,-0.261,0.226,0.002,0.002,4859.0,3063.0,1.0,-8,2008
-0.033,0.124,-0.28,0.213,0.002,0.002,2555.0,2655.0,1.0,-7,1979
-0.027,0.127,-0.274,0.218,0.003,0.003,2013.0,1283.0,1.0,-6,2000
-0.029,0.126,-0.274,0.216,0.002,0.002,4913.0,3620.0,1.0,-5,1961
-0.03,0.121,-0.268,0.206,0.001,0.002,7292.0,4291.0,1.0,-3,1975
-0.036,0.127,-0.294,0.215,0.002,0.002,4515.0,2420.0,1.0,-2,1997
-0.028,0.122,-0.256,0.226,0.002,0.002,4577.0,3671.0,1.0,-1,1889
-0.031,0.12,-0.26,0.215,0.002,0.002,5101.0,4740.0,1.0,0,1973
-0.032,0.127,-0.266,0.237,0.002,0.002,2633.0,1443.0,1.0,2,1972
-0.029,0.124,-0.273,0.219,0.002,0.002,4575.0,4195.0,1.0,3,1976
-0.029,0.127,-0.283,0.221,0.003,0.003,1495.0,461.0,1.0,4,1970
-0.03,0.123,-0.272,0.205,0.002,0.002,3262.0,2185.0,1.0,5,1935
-0.033,0.123,-0.262,0.223,0.002,0.002,4179.0,2012.0,1.0,-34,1950
-0.033,0.126,-0.294,0.207,0.002,0.002,3020.0,2751.0,1.0,7,1952
-0.03,0.125,-0.258,0.224,0.002,0.002,4476.0,3184.0,1.0,8,1965
-0.032,0.125,-0.276,0.211,0.002,0.002,4728.0,4738.0,1.0,9,2018
-0.033,0.124,-0.275,0.211,0.002,0.002,2848.0,2762.0,1.0,10,1971
-0.027,0.124,-0.261,0.227,0.002,0.002,4118.0,3530.0,1.0,12,1996
-0.03,0.126,-0.291,0.21,0.002,0.002,2891.0,1048.0,1.0,13,2011
-0.031,0.124,-0.274,0.211,0.002,0.002,3069.0,3107.0,1.0,14,1995
-0.028,0.126,-0.27,0.237,0.003,0.003,1408.0,645.0,1.01,15,1967
-0.032,0.123,-0.27,0.21,0.002,0.002,3755.0,3454.0,1.0,-18,2016
-0.03,0.123,-0.272,0.209,0.002,0.002,5297.0,3298.0,1.0,17,1982
-0.03,0.123,-0.278,0.206,0.003,0.003,1591.0,902.0,1.0,22,1957
-0.034,0.125,-0.276,0.203,0.002,0.002,3170.0,1247.0,1.0,27,1999
-0.035,0.127,-0.279,0.209,0.003,0.002,2380.0,1341.0,1.0,32,2015
-0.031,0.124,-0.289,0.184,0.002,0.002,2625.0,5012.0,1.0,26,0
-0.031,0.118,-0.256,0.21,0.002,0.002,4823.0,4511.0,1.0,31,2004
-0.027,0.123,-0.268,0.207,0.004,0.003,1150.0,736.0,1.0,19,1988
-0.026,0.126,-0.263,0.23,0.002,0.002,3424.0,1779.0,1.0,24,1989
-0.031,0.123,-0.273,0.204,0.002,0.002,3164.0,2491.0,1.0,29,1951
-0.029,0.124,-0.284,0.204,0.002,0.002,3925.0,3755.0,1.0,34,1968
-0.033,0.125,-0.277,0.208,0.003,0.002,1637.0,2748.0,1.0,39,1983
-0.03,0.126,-0.275,0.217,0.002,0.002,3178.0,3863.0,1.0,44,1991
-0.034,0.127,-0.281,0.219,0.003,0.003,1337.0,1448.0,1.01,49,1987
-0.027,0.123,-0.262,0.213,0.002,0.002,4915.0,5376.0,1.0,54,1992
-0.03,0.129,-0.275,0.227,0.003,0.002,2230.0,2920.0,1.0,59,2008
-0.032,0.123,-0.27,0.211,0.002,0.002,4312.0,2819.0,1.0,64,1979
