island,year,island_id,region_code,region,prefecture_code,pref,population,dummy_has_bridge,dummy_connect_mainland_by_bridge,bridge_opened_year,dummy_after_bridge_build,connect_mainland_year,dummy_after_connect_mainland,income
犬島,2002,14,33201,（旧）岡山市,33,岡山県,74,0,0,0,0,0,0,903991230
犬島,2003,14,33201,（旧）岡山市,33,岡山県,72,0,0,0,0,0,0,873862761
犬島,2004,14,33201,（旧）岡山市,33,岡山県,74,0,0,0,0,0,0,870122726
犬島,2005,14,33201,（旧）岡山市,33,岡山県,71,0,0,0,0,0,0,916077388
犬島,2006,14,33201,（旧）岡山市,33,岡山県,71,0,0,0,0,0,0,959841772
犬島,2007,14,33201,（旧）岡山市,33,岡山県,68,0,0,0,0,0,0,992716179
犬島,2008,14,33201,（旧）岡山市,33,岡山県,61,0,0,0,0,0,0,1006664846
犬島,2009,14,33100,岡山市,33,岡山県,55,0,0,0,0,0,0,1001167735
犬島,2010,14,33100,岡山市,33,岡山県,57,0,0,0,0,0,0,931926719
犬島,2011,14,33100,岡山市,33,岡山県,54,0,0,0,0,0,0,930129439
犬島,2012,14,33100,岡山市,33,岡山県,,0,0,0,0,0,0,937672624
犬島,2013,14,33100,岡山市,33,岡山県,50,0,0,0,0,0,0,947885454
犬島,2014,14,33100,岡山市,33,岡山県,49,0,0,0,0,0,0,997079990
犬島,2015,14,33100,岡山市,33,岡山県,48,0,0,0,0,0,0,995423106
犬島,2016,14,33100,岡山市,33,岡山県,50,0,0,0,0,0,0,1026529639
犬島,2017,14,33100,岡山市,33,岡山県,46,0,0,0,0,0,0,1034645461
犬島,2018,14,33100,岡山市,33,岡山県,48,0,0,0,0,0,0,1063618985
犬島,2019,14,33100,岡山市,33,岡山県,45,0,0,0,0,0,0,1082192969
犬島,2020,14,33100,岡山市,33,岡山県,42,0,0,0,0,0,0,1092248088
石島,2001,15,33204,玉野市,33,岡山県,,0,0,0,0,0,0,85843650
石島,2002,15,33204,玉野市,33,岡山県,143,0,0,0,0,0,0,86043366
石島,2003,15,33204,玉野市,33,岡山県,137,0,0,0,0,0,0,82507109
石島,2004,15,33204,玉野市,33,岡山県,126,0,0,0,0,0,0,80980230
石島,2005,15,33204,玉野市,33,岡山県,126,0,0,0,0,0,0,80508171
石島,2006,15,33204,玉野市,33,岡山県,129,0,0,0,0,0,0,84916117
石島,2007,15,33204,玉野市,33,岡山県,126,0,0,0,0,0,0,84730075
石島,2008,15,33204,玉野市,33,岡山県,116,0,0,0,0,0,0,84396350
石島,2009,15,33204,玉野市,33,岡山県,110,0,0,0,0,0,0,84002477
石島,2010,15,33204,玉野市,33,岡山県,103,0,0,0,0,0,0,79206850
石島,2011,15,33204,玉野市,33,岡山県,103,0,0,0,0,0,0,76910003
石島,2012,15,33204,玉野市,33,岡山県,,0,0,0,0,0,0,75224474
石島,2013,15,33204,玉野市,33,岡山県,97,0,0,0,0,0,0,74040214
石島,2014,15,33204,玉野市,33,岡山県,95,0,0,0,0,0,0,72259853
石島,2015,15,33204,玉野市,33,岡山県,91,0,0,0,0,0,0,70971725
石島,2016,15,33204,玉野市,33,岡山県,87,0,0,0,0,0,0,71204510
石島,2017,15,33204,玉野市,33,岡山県,84,0,0,0,0,0,0,71697635
石島,2018,15,33204,玉野市,33,岡山県,79,0,0,0,0,0,0,72643882
石島,2019,15,33204,玉野市,33,岡山県,75,0,0,0,0,0,0,71541945
石島,2020,15,33204,玉野市,33,岡山県,70,0,0,0,0,0,0,71893710
松島,2001,16,33202,倉敷市,33,岡山県,6,0,0,0,0,0,0,579976378
松島,2002,16,33202,倉敷市,33,岡山県,6,0,0,0,0,0,0,567187984
松島,2003,16,33202,倉敷市,33,岡山県,6,0,0,0,0,0,0,551575701
松島,2004,16,33202,倉敷市,33,岡山県,6,0,0,0,0,0,0,553859880
松島,2005,16,33202,倉敷市,33,岡山県,6,0,0,0,0,0,0,564133130
